提出日,戦略,タイトル,商品名,型番,レアリティ,状態,仕入先,仕入URL,仕入価格,在庫数,推奨出口,想定売価,手数料,送料・資材,純利益,利益率,想定回転日数,チャネル比較,フリマ指値,探索キーワード,根拠,リスク,推奨仕入数
2026-09-09,短期,ワンピ,お菊 SP,OP01 OP01-035,SP,状態A-,cardrush,https://www.cardrush-op.jp/product/1586,100,120,業者間卸,2625,0,240,2285,2285.0%,3,"業者間卸+2,285/3日 ｜ 買取店+2,160/1日",2000,お菊 SP OP01-035,"買取上限 2,500円 ≥ 仕入 100円（下値が堅い） ／ 業者間卸で純利益 +2,285円（2285.0%）",値動きが速いため14日以内に売り切る,1
2026-09-09,短期,ワンピ,ヤマト SEC パラレル,OP01 OP01-121,SEC-P,状態A-,cardrush,https://www.cardrush-op.jp/product/5176,1280,39,業者間卸,15750,0,240,14230,1111.7%,3,"業者間卸+14,230/3日 ｜ 買取店+13,480/1日",13400,ヤマト パラレル OP01-121,"買取上限 15,000円 ≥ 仕入 1,280円（下値が堅い） ／ 業者間卸で純利益 +14,230円（1111.7%）",値動きが速いため14日以内に売り切る,1
2026-09-09,短期,ワンピ,ナミ パラレル,OP01 OP01-016,R-P,状態A-,cardrush,https://www.cardrush-op.jp/product/1322,12800,37,業者間卸,94500,0,240,81460,636.4%,3,"業者間卸+81,460/3日 ｜ 買取店+76,960/1日",81900,ナミ パラレル OP01-016,"買取上限 90,000円 ≥ 仕入 12,800円（下値が堅い） ／ 業者間卸で純利益 +81,460円（636.4%）",値動きが速いため14日以内に売り切る,1
2026-09-09,短期,ワンピ,ウタ SEC パラレル,OP02 OP02-120,SEC-P,状態A-,cardrush,https://www.cardrush-op.jp/product/1410,1980,59,業者間卸,18900,0,240,16680,842.4%,3,"業者間卸+16,680/3日 ｜ 買取店+15,780/1日",16200,ウタ パラレル OP02-120,"買取上限 18,000円 ≥ 仕入 1,980円（下値が堅い） ／ 業者間卸で純利益 +16,680円（842.4%）",値動きが速いため14日以内に売り切る,1
2026-09-09,短期,ポケカ,リザードンex SAR,SV2a 201/165,SAR,状態A-,cardrush,https://www.cardrush-pokemon.jp/product/44116,54800,52,業者間卸,68250,0,240,13210,24.1%,3,"業者間卸+13,210/3日 ｜ 買取店+9,960/1日",59100,リザードンex SAR 201/165,"買取上限 65,000円 ≥ 仕入 54,800円（下値が堅い） ／ 業者間卸で純利益 +13,210円（24.1%）",値動きが速いため14日以内に売り切る,1
