product_id,title,name,set_code,card_no,rarity,form,release_date,search_keyword,must_keywords,exclude_keywords,surugaya_url,surugaya_kaitori_url,supply_status,graded,active
op_op01_016_nami_p,onepiece,ナミ パラレル,OP01,OP01-016,R-P,single,2022-07-08,ナミ パラレル OP01-016,ナミ|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット|スーパーパラレル,https://www.suruga-ya.jp/product/detail/GL498280,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL498280,discontinued,0,1
op_op01_016_nami_sp,onepiece,ナミ スーパーパラレル,OP01,OP01-016,SP,single,2022-07-08,ナミ スーパーパラレル OP01-016,ナミ|スーパーパラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GN605091,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN605091,discontinued,0,1
op_op01_120_shanks_sp,onepiece,シャンクス スーパーパラレル(刻印なし),OP01,OP01-120,SEC-SP,single,2022-07-08,シャンクス スーパーパラレル OP01-120,シャンクス|スーパーパラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GL500243,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL500243,discontinued,0,1
op_op01_121_yamato_p,onepiece,ヤマト SEC パラレル,OP01,OP01-121,SEC-P,single,2022-07-08,ヤマト パラレル OP01-121,ヤマト|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GL498503,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL498503,discontinued,0,1
op_op02_120_uta_p,onepiece,ウタ SEC パラレル,OP02,OP02-120,SEC-P,single,2022-11-04,ウタ パラレル OP02-120,ウタ|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GL653501,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL653501,discontinued,0,1
op_op02_073_sadi_p,onepiece,サディちゃん パラレル,OP02,OP02-073,R-P,single,2022-11-04,サディちゃん パラレル OP02-073,サディ|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GL653447,https://www.suruga-ya.jp/kaitori/kaitori_detail/GL653447,discontinued,0,1
op_op06_007_shanks_p,onepiece,シャンクス SR パラレル,OP06,OP06-007,SR-P,single,2024-02-24,シャンクス パラレル OP06-007,シャンクス|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GN273180,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN273180,active,0,1
op_op07_118_sabo_p,onepiece,サボ SEC パラレル,OP07,OP07-118,SEC-P,single,2024-05-25,サボ パラレル OP07-118,サボ|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GN407105,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN407105,active,0,1
op_op01_035_okiku_sp,onepiece,お菊 パラレル SP,OP01,OP01-035,SP,single,,お菊 SP OP01-035,お菊,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GN407109,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN407109,active,0,1
op_op09_001_shanks_lp,onepiece,シャンクス リーダーパラレル,OP09,OP09-001,L-P,single,2024-11-23,シャンクス パラレル OP09-001,シャンクス|パラレル,PSA|BGS|ARS|プロキシ|スリーブ|デッキ|まとめ|セット,https://www.suruga-ya.jp/product/detail/GN648868,https://www.suruga-ya.jp/kaitori/kaitori_detail/GN648868,active,0,1
